ID,Name,Industry,Inception,No Values,Expenses,Profit,Growth
1,Lamtone,,,"$11,757,018 ",,5274553,,30%
2,Stripfind,Financial Services,2010,"$12,329,371 ","916,455 Dollars",11412916,
3,Canecorporation,No Values,,"$10,597,009 ","7,591,189 Dollars",3005820,7%
4,Mattouch,IT Services,2013,No Values,"7,429,377 Dollars",No,NULL
5,Techdrill,NA,2009,"$10,573,990 ",,3138627,
6,Techline,Health,No Values,"$13,898,119 ","5,470,303 Dollars",8427816,23%
7,Cityace,,2010,"$9,254,614 ","6,249,498 Dollars",3005116,6%
8,Kayelectronics,Health,,"$9,451,943 ","3,878,113 Dollars",5573830,N/A
9,Ganzlax,IT Services,2011,"$14,001,180 ",,11901180,
10,Trantraxlax,Government Services,2011,"$11,088,336 ",,5453060,7%
